name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Gap angle,cos(gap angle),UAV Speed,UAV Payload,Final UAV Speed
"Birmingham, England, United Kingdom",6/1/2022,8.5,8,6.7,88.53,0,0,,0,0,7.90,5.40,270,1014.4,28.1,19.7,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",69,0.2817026281,22.38204318,2.566546293,24.11447322
"Birmingham, England, United Kingdom",6/1/2022,6.8,6.8,6.3,96.41,0,0,,0,0,5.10,3.20,286,1015,20.5,16.6,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",340,-0.9000071265,28.18774217,10.48302531,22.11221897
"Birmingham, England, United Kingdom",6/1/2022,6.2,6.2,5.8,97.67,0,0,,0,0,6.20,4.30,195,1015.1,4.4,12.1,0,,0,10,Clear,clear-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",266,-0.6884925196,29.37544444,1.553020933,24.97105023
"Birmingham, England, United Kingdom",6/1/2022,5.5,4.6,5.3,98.46,0,0,,0,0,8.90,5.30,192,1015,28.7,10.1,0,,0,10,Partially cloudy,partly-cloudy-night,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",18,0.635885614,23.71088283,13.16963603,26.51038418
"Birmingham, England, United Kingdom",6/1/2022,6,6,5.8,98.6,0,0,,0,0,7.90,4.30,174,1014.4,92.3,13.1,0,,0,10,Overcast,cloudy,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999",35,0.5266257059,20.0254226,14.55408537,21.45772112
"Birmingham, England, United Kingdom",6/1/2022,7.1,7.1,7,98.95,0.02,100,rain,0,0,5.80,3.70,198,1015,56.4,13.4,7,0,0,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",358,-0.9087027755,26.21958394,11.74275201,19.3975562
"Birmingham, England, United Kingdom",6/1/2022,8.4,7.3,8.2,98.81,0.02,100,rain,0,0,6.00,7.00,233,1015.1,79.9,13.3,23,0.1,0,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",224,-0.6610185216,20.29227936,12.47083961,12.9191122
"Birmingham, England, United Kingdom",6/1/2022,9.4,8.9,8.8,96.14,0.02,100,rain,0,0,6.10,5.70,252,1015.2,76.3,12.2,104,0.4,1,10,"Rain, Partially cloudy",rain,"03529099999,03414099999,EGBB,03535099999,03534099999,AU757,03544099999",111,0.3172243595,23.89602246,14.54596201,23.90359735
"Birmingham, England, United Kingdom",6/1/2022,10.9,10.9,9,88.14,0.02,100,rain,0,0,12.80,9.30,291,1015.3,79.8,18.2,169,0.6,2,10,"Rain, Partially cloudy",rain,"03529099999,EGBB,03647099999,03535099999,03534099999,AU757,03544099999",279,0.454431264,20.00706411,2.977959626,25.38914851
"Birmingham, England, United Kingdom",6/1/2022,11,11,8.8,86.8,0.02,100,rain,0,0,14.60,9.20,324,1016,91.1,23.2,186,0.7,2,10,"Rain, Overcast",rain,"03529099999,03414099999,EGBB,03647099999,03535099999,AU757,03544099999",360,0.3467065409,26.1051605,5.923843885,29.61544896
